src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.146.129,142.250.185.14,35719,443,17,2025-06-23 15:56:55,104.85461902618408,12105.82816273473,12.417192605266795,2.57499385823505,9.842198747031745,270,1032,177495,1091857,1399,71,657.3888888888889,584.6047102820423,1399,68,1058.000968992248,557.3826266048499,1399,68,974.9247311827957,586.0902195794423,343501.74548667885,5400,20640,20,270,0.08059540278722835,16.95470142364502,0.0,0.7778012477745688,104.83485746383667,16.968899488449097,0.0,0.3897206597168649,1.679848633304105,104.82271718978882,16.965301275253296,0.0,0.10167091870978547,0.875163566619507,0,0,0,0,0,0,0,0,0,0,0,3.8222222222222224,974.9247311827957,0,0,0,0,0,0,0,0,0,0,6283.75,6.375,17491.372881355932,15.423728813559322,48378.11896170251,582242.6667907785,657.3888888888889,1058.000968992248,0,270,1032,177495,1091857
192.168.146.129,2.16.38.4,51186,80,6,2025-06-23 15:57:12,93.01550555229187,31.59688250415131,0.29027418428447954,0.16126343571359975,0.1290107485708798,15,12,1353,1586,485,60,90.2,105.62083127868293,926,60,132.16666666666666,239.34975570398132,926,60,108.85185185185185,179.1479222657249,32093.978052126215,300,240,20,13,3.577519444318918,10.417583703994751,0.0,4.834320967228114,93.01550531387329,10.41758394241333,0.0,6.6439646652766635,4.798885337928079,92.99805688858032,11.058973550796509,0.0036416053771972656,8.454368808052756,3.986555282321989,1,1,0,0,0,3,0,2,25,0,0,0.8,108.85185185185185,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.2,132.16666666666666,0,15,12,1353,1586
192.168.146.129,2.16.38.4,51202,80,6,2025-06-23 15:57:12,93.01550507545471,31.59688266613041,0.2902741857725488,0.1612634365403049,0.12901074923224393,15,12,1353,1586,485,60,90.2,105.62083127868293,926,60,132.16666666666666,239.34975570398132,926,60,108.85185185185185,179.1479222657249,32093.978052126215,300,240,20,13,3.5775194259790273,10.417583465576172,0.0,4.834305038107787,93.01550483703613,10.41758394241333,0.0,6.643964631216867,4.798856051195873,92.99805641174316,11.058972358703613,0.0036411285400390625,8.454368764703924,3.986547625062015,1,1,0,0,0,3,0,2,25,0,0,0.8,108.85185185185185,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.2,132.16666666666666,0,15,12,1353,1586
192.168.146.129,142.250.185.10,59520,443,6,2025-06-23 15:56:49,117.63135600090027,118.71834581158039,0.24653290573117304,0.12751702020577915,0.11901588552539387,15,14,2333,11632,730,60,155.53333333333333,186.8225063767449,9683,60,830.8571428571429,2462.234840173306,9683,60,481.55172413793105,1748.9155770363745,3058705.6956004747,300,280,20,13,4.2011198571750095,58.8254234790802,0.0,15.095369285490397,117.63135600090027,58.82726740837097,0.0,8.402239714350019,20.50505218322144,117.61383175849915,58.867921352386475,0.0,9.047217827576857,21.150504732363387,7,6,0,0,0,3,0,13,27,0,0,0.9333333333333333,481.55172413793105,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.53333333333333,830.8571428571429,0,15,14,2333,11632
192.168.146.129,142.250.184.14,59660,443,6,2025-06-23 15:56:50,117.92408967018127,92.74610497812111,0.26288097781126035,0.13568050467677953,0.12720047313448082,16,15,2364,8573,717,60,147.75,173.5873339273347,6671,60,571.5333333333333,1638.7914598535378,6671,60,352.80645161290323,1166.1499217332123,1359905.6399583772,320,300,20,14,3.9308029890060423,58.854729652404785,0.0,14.664325476964413,117.92408967018127,58.854729652404785,0.0,7.861605978012085,19.97955682966327,117.89268827438354,58.89727854728699,0.0,8.42090630531311,20.575737991731398,8,6,0,0,0,3,0,14,29,0,0,0.9375,352.80645161290323,64240,64240,0,0,0,0,0,0,0,0,0,0,632.0,4.0,0,54176.462384271086,147.75,571.5333333333333,0,16,15,2364,8573
192.168.146.129,142.250.184.163,51012,443,6,2025-06-23 15:56:53,117.2314932346344,62.969427380961584,0.22178340719385006,0.11942183464284234,0.10236157255100772,14,12,1838,5544,717,60,131.28571428571428,167.74999619818118,4185,60,462.0,1134.6381214584087,4185,60,283.9230769230769,797.8219351689238,636519.8402366864,280,240,20,12,4.689259729385376,58.855666160583496,0.0,15.8551097210767,117.2314932346344,58.855666160583496,0.0,9.017807171894955,21.08074439418173,117.2108826637268,58.89737915992737,2.384185791015625e-07,10.655534787611527,22.543506652864707,6,5,0,0,0,3,0,11,24,0,0,0.8571428571428571,283.9230769230769,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.28571428571428,462.0,0,14,12,1838,5544
192.168.146.129,216.58.209.78,42610,443,6,2025-06-23 15:56:53,117.23108768463135,63.06347698392293,0.22178417443284137,0.11942224777152996,0.1023619266613114,14,12,1849,5544,728,60,132.07142857142858,170.49485299550594,4185,60,462.0,1134.6381214584087,4185,60,284.34615384615387,798.0543620536757,636890.7647928994,280,240,20,12,4.689243507385254,58.867002725601196,0.0,15.856795732663915,117.23108768463135,58.867002725601196,0.0,9.017775975740873,21.083189139274626,117.2108826637268,58.90514612197876,2.384185791015625e-07,10.655534787611527,22.545348492807303,6,5,0,0,0,3,0,11,24,0,0,0.8571428571428571,284.34615384615387,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.07142857142858,462.0,0,14,12,1849,5544
192.168.146.129,89.115.247.141,42410,443,6,2025-06-23 15:57:19,93.28000140190125,3207.6864869547635,0.6432246901614763,0.31089193357804684,0.3323327565834294,29,31,5529,293684,3081,60,190.6551724137931,560.1806528724072,63904,60,9473.677419354839,15274.961298482402,63904,60,4986.883333333333,11925.700035485921,142222321.3363889,580,620,20,27,1.5810169729135803,10.245014190673828,0.0,3.6572360490135827,93.28000092506409,10.245014667510986,0.0,3.3314286044665744,4.727839048592972,93.26830339431763,11.05256199836731,0.0,3.1089434464772543,4.716101617055163,3,16,0,0,0,3,0,19,58,0,0,1.0689655172413792,4986.883333333333,64240,64240,0,0,0,0,0,0,0,0,0,0,18925.0,4.0,0,80450.1670783236,190.6551724137931,9473.677419354839,0,29,31,5529,293684
192.168.146.129,34.160.144.191,45400,443,6,2025-06-23 15:56:43,136.81753182411194,174.3563100573046,0.2631241736350017,0.13156208681750084,0.13156208681750084,18,18,2242,21613,306,60,124.55555555555556,74.61845334933521,5862,60,1200.7222222222222,2122.1037205135103,5862,60,662.6388888888889,1594.985808936831,2543979.7307098773,360,360,20,16,3.9090723378317698,59.00631618499756,0.0,13.264790944932079,136.81753182411194,59.00631642341614,0.0,8.048090107300702,18.136940805587443,77.78641057014465,48.81876516342163,0.0,4.575671210008509,12.96051117241879,11,7,0,0,0,3,0,18,34,0,0,1.0,662.6388888888889,64240,64240,0,0,0,0,0,0,0,0,0,0,5864.0,5.0,0,123601.80038092558,124.55555555555556,1200.7222222222222,0,18,18,2242,21613
192.168.146.129,216.58.209.78,42616,443,6,2025-06-23 15:57:01,117.79086399078369,97.35899382567811,0.26317830559783933,0.13583396417952998,0.12734434141830936,16,15,2280,9188,713,60,142.5,165.4354103570333,6672,60,612.5333333333333,1642.4807199950797,6672,60,369.93548387096774,1172.4592553752514,1374660.705515089,320,300,20,14,3.926362133026123,58.74602675437927,0.0,14.650746410476431,117.79086399078369,58.74602675437927,0.0,7.852724266052246,19.961374488015437,117.7746090888977,58.78895401954651,0.0,8.412472077778407,20.556696554150676,8,6,0,0,0,3,0,14,29,0,0,0.9375,369.93548387096774,64240,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,612.5333333333333,0,16,15,2280,9188
