src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.129,192.168.10.130,11486,80,6,2025-06-22 13:39:40,90.81178569793701,2.6428287711278,0.044047146185463334,0.0330353596390975,0.011011786546365834,3,1,180,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,60,20,20,3,30.27059523264567,48.97942399978638,0.0,21.60249718111109,90.81178569793701,90.81178569793701,0.0,45.405892848968506,45.405892848968506,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,3,1,180,60
192.168.10.130,192.168.10.129,80,11530,6,2025-06-22 13:39:40,90.8220841884613,2.642529095698636,0.044042151594977264,0.044042151594977264,0.0,4,0,240,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,80,0,20,4,30.274028062820435,74.88471055030823,0.0,32.20853627658473,90.8220841884613,74.88471055030823,0.0,30.274028062820435,32.20853627658473,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,4,0,240,0
192.168.10.130,192.168.10.129,80,11531,6,2025-06-22 13:39:40,90.8220841884613,2.642529095698636,0.044042151594977264,0.044042151594977264,0.0,4,0,240,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,80,0,20,4,30.274028062820435,74.8847107887268,0.0,32.208536422034165,90.8220841884613,74.8847107887268,0.0,30.274028062820435,32.208536422034165,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,4,0,240,0
192.168.10.129,192.168.10.130,12263,80,6,2025-06-22 13:39:40,90.79488277435303,3.3041509701110763,0.0550691828351846,0.0550691828351846,0.0,5,0,300,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,100,0,20,5,22.698720693588257,57.6390061378479,0.0,21.551938980555153,90.79488277435303,57.6390061378479,0.0,22.698720693588257,21.551938980555153,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,5,0,300,0
192.168.10.129,192.168.10.130,12264,80,6,2025-06-22 13:39:40,90.79488253593445,2.643320783029966,0.04405534638383276,0.04405534638383276,0.0,4,0,240,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,80,0,20,4,30.26496084531148,69.37128233909607,0.0,29.00253950869271,90.79488253593445,69.37128233909607,0.0,30.26496084531148,29.00253950869271,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,4,0,240,0
192.168.10.129,192.168.10.130,12505,80,6,2025-06-22 13:39:40,90.79098081588745,1.982575784317355,0.033042929738622585,0.033042929738622585,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.395490407943726,90.79098081588745,0.0,45.395490407943726,90.79098081588745,90.79098081588745,0.0,45.395490407943726,45.395490407943726,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.129,192.168.10.130,12553,80,6,2025-06-22 13:39:40,90.78598213195801,1.9826849451093544,0.03304474908515591,0.03304474908515591,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.392991065979004,90.78598213195801,0.0,45.392991065979004,90.78598213195801,90.78598213195801,0.0,45.392991065979004,45.392991065979004,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.129,192.168.10.130,12629,80,6,2025-06-22 13:39:40,90.79844927787781,1.9824127111370757,0.0330402118522846,0.022026807901523063,0.011013403950761532,2,1,120,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,20,20,2,45.399224638938904,90.79844927787781,0.0,45.399224638938904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,1,120,60
192.168.10.130,192.168.10.129,80,12667,6,2025-06-22 13:39:40,90.78867769241333,1.9826260782190193,0.03304376797031699,0.022029178646877992,0.011014589323438996,2,1,120,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,20,20,2,45.394338846206665,90.78867769241333,0.0,45.394338846206665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0.5,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,1,120,60
192.168.10.129,192.168.10.130,12829,80,6,2025-06-22 13:39:40,90.81756734848022,1.9819953920293174,0.033033256533821956,0.033033256533821956,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.40878367424011,90.81756734848022,0.0,45.40878367424011,90.81756734848022,90.81756734848022,0.0,45.40878367424011,45.40878367424011,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.129,192.168.10.130,12830,80,6,2025-06-22 13:39:40,90.81756734848022,1.9819953920293174,0.033033256533821956,0.033033256533821956,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.40878367424011,90.81756734848022,0.0,45.40878367424011,90.81756734848022,90.81756734848022,0.0,45.40878367424011,45.40878367424011,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.129,192.168.10.130,13259,80,6,2025-06-22 13:39:40,90.79245042800903,2.6433915911356562,0.04405652651892761,0.033042394889195706,0.011014131629731902,3,1,180,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,60,20,20,3,30.264150142669678,65.85358047485352,0.0,27.147037556759006,90.79245042800903,90.79245042800903,0.0,45.39622521400452,45.39622521400452,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,3,1,180,60
192.168.10.130,192.168.10.129,80,13841,6,2025-06-22 13:39:40,90.79183578491211,1.9825571147875458,0.03304261857979243,0.022028412386528286,0.011014206193264143,2,1,120,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,20,20,2,45.395917892456055,90.79183578491211,0.0,45.395917892456055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0.5,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,1,120,60
192.168.10.130,192.168.10.129,80,14177,6,2025-06-22 13:39:40,90.79273056983948,2.6433834349258554,0.04405639058209759,0.033042292936573195,0.011014097645524398,3,1,180,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,60,20,20,3,30.264243523279827,85.7533233165741,0.0,39.29060437811224,90.79273056983948,90.79273056983948,0.0,45.39636528491974,45.39636528491974,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0.3333333333333333,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,3,1,180,60
192.168.10.130,192.168.10.129,80,14214,6,2025-06-22 13:39:40,90.7968499660492,2.643263506275173,0.04405439177125288,0.03304079382843966,0.01101359794281322,3,1,180,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,60,20,20,3,30.26561665534973,75.71059083938599,0.0,32.71934252140975,90.7968499660492,90.7968499660492,0.0,45.3984249830246,45.3984249830246,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0.3333333333333333,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,3,1,180,60
192.168.10.130,192.168.10.129,80,14269,6,2025-06-22 13:39:40,90.79389262199402,2.6433496028108627,0.04405582671351438,0.02202791335675719,0.02202791335675719,2,2,120,120,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,40,20,2,30.264630873998005,49.0044469833374,0.0,21.602082809387483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1.0,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,2,120,120
192.168.10.129,192.168.10.130,14389,80,6,2025-06-22 13:39:40,90.79215431213379,2.6434002124776717,0.04405667020796119,0.0330425026559709,0.011014167551990297,3,1,180,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,60,20,20,3,30.26405143737793,46.98117184638977,0.0,21.43901633673962,90.79215431213379,90.79215431213379,0.0,45.396077156066895,45.396077156066895,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,3,1,180,60
